                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                  1.437,                 1.5636,                  2.082,                0.95892,                0.93597,                 0.9744,                0.70371,                 1.1113,                0.89112,                 1.8391,             0.00079012,             0.00079012,             0.00079012
                     55,                 1.3638,                 1.5227,                 1.9777,                 0.9522,                0.95305,                0.98604,                0.67723,                 1.1715,                0.80553,                 1.9551,             0.00078616,             0.00078616,             0.00078616
                     56,                 1.2975,                 1.5516,                 2.0033,                0.82226,                0.92001,                0.96348,                0.64424,                 1.2059,                 1.0275,                 1.8531,              0.0007822,              0.0007822,              0.0007822
                     57,                 1.3519,                 1.5897,                 1.9974,                0.93217,                 0.9038,                0.97461,                0.66951,                 1.1983,                0.95241,                 1.9725,             0.00077824,             0.00077824,             0.00077824
                     58,                 1.4469,                  1.556,                 2.0608,                 0.9449,                0.96249,                0.98417,                0.76813,                0.94886,                0.75462,                  1.733,             0.00077428,             0.00077428,             0.00077428
                     59,                 1.4025,                 1.4901,                 2.0338,                0.92736,                0.88365,                0.97984,                0.71896,                 1.0755,                 0.9668,                  1.872,             0.00077032,             0.00077032,             0.00077032
                     60,                 1.3287,                 1.4062,                  1.941,                 0.9384,                0.91712,                0.98218,                0.72995,                 1.0686,                0.89759,                 1.8426,             0.00076636,             0.00076636,             0.00076636
                     61,                 1.2996,                  1.417,                 1.9837,                0.97447,                0.95955,                0.98395,                0.70508,                 1.0942,                0.82395,                 1.8685,              0.0007624,              0.0007624,              0.0007624
                     62,                 1.3395,                 1.4696,                 2.0114,                 0.9766,                 0.9703,                0.98509,                0.74014,                 1.0185,                0.79815,                 1.7573,             0.00075844,             0.00075844,             0.00075844
                     63,                 1.3402,                 1.5387,                 2.0154,                0.96084,                0.96083,                0.97917,                0.70236,                 1.1037,                0.80701,                 1.8364,             0.00075448,             0.00075448,             0.00075448
                     64,                 1.3354,                 1.3573,                 1.9336,                0.89353,                0.94571,                0.97129,                0.68138,                 1.1509,                 1.0241,                 1.8392,             0.00075052,             0.00075052,             0.00075052
                     65,                 1.3113,                 1.4341,                 1.9491,                0.95978,                0.95958,                0.98792,                0.75847,                0.96263,                0.77272,                 1.6843,             0.00074656,             0.00074656,             0.00074656
                     66,                 1.3314,                 1.4755,                 2.0315,                0.97411,                0.95223,                0.98394,                0.73608,                  1.046,                 0.7927,                 1.7524,              0.0007426,              0.0007426,              0.0007426
                     67,                 1.2316,                 1.2177,                 1.8778,                0.94698,                0.93743,                0.97634,                0.69527,                 1.0733,                0.97511,                 1.8343,             0.00073864,             0.00073864,             0.00073864
                     68,                 1.2902,                 1.4103,                 1.9882,                0.63581,                 0.8364,                0.87326,                0.63959,                 1.0341,                 1.3019,                  1.735,             0.00073468,             0.00073468,             0.00073468
                     69,                 1.2665,                 1.4618,                 1.9372,                0.92419,                0.95841,                0.98083,                0.74023,                 1.0264,                0.79704,                 1.7423,             0.00073072,             0.00073072,             0.00073072
                     70,                 1.2337,                 1.4123,                 1.8731,                0.92789,                0.81862,                0.95508,                0.70936,                 1.0527,                0.91857,                 1.7938,             0.00072676,             0.00072676,             0.00072676
                     71,                 1.2887,                 1.3516,                 1.9396,                0.96491,                0.98229,                0.98668,                0.74439,                 1.0001,                0.74394,                 1.6978,              0.0007228,              0.0007228,              0.0007228
                     72,                 1.2499,                 1.2943,                 1.8952,                0.95126,                0.96435,                0.98361,                0.76129,                  0.923,                0.81701,                 1.6621,             0.00071884,             0.00071884,             0.00071884
                     73,                  1.256,                 1.3373,                 1.9306,                0.95297,                0.95556,                0.97181,                0.74175,                0.97917,                0.80139,                 1.6719,             0.00071488,             0.00071488,             0.00071488
                     74,                 1.2432,                 1.3471,                 1.8916,                0.93325,                0.95989,                0.97646,                0.73693,                 1.0287,                0.81437,                 1.7356,             0.00071092,             0.00071092,             0.00071092
                     75,                 1.2531,                 1.4372,                  1.897,                0.95293,                0.94639,                0.98795,                0.66311,                 1.2894,                0.86178,                 1.9125,             0.00070696,             0.00070696,             0.00070696
                     76,                 1.2278,                 1.3093,                  1.852,                0.83284,                0.86577,                0.85656,                0.65062,                 1.0116,                 1.1444,                  1.762,               0.000703,               0.000703,               0.000703
                     77,                 1.2528,                 1.3015,                 1.9055,                0.91406,                0.94649,                0.98477,                0.74542,                  1.023,                0.85471,                 1.7078,             0.00069904,             0.00069904,             0.00069904
                     78,                 1.2992,                 1.3981,                 1.9277,                0.97407,                0.97378,                0.98903,                0.77094,                0.91679,                0.76765,                 1.6442,             0.00069508,             0.00069508,             0.00069508
                     79,                 1.3286,                 1.3524,                 1.9526,                0.97865,                0.97778,                0.98921,                0.78128,                 0.8817,                0.87242,                 1.5757,             0.00069112,             0.00069112,             0.00069112
                     80,                 1.2244,                 1.2493,                 1.8549,                0.98312,                0.95726,                0.98962,                 0.7715,                0.91764,                0.64736,                 1.6468,             0.00068716,             0.00068716,             0.00068716
                     81,                 1.2301,                 1.4106,                 1.9128,                0.98857,                0.97014,                0.98841,                 0.7992,                0.83937,                0.66008,                 1.5379,              0.0006832,              0.0006832,              0.0006832
                     82,                  1.174,                 1.2138,                 1.8289,                0.97056,                0.97276,                0.99045,                0.75705,                0.96704,                0.73062,                 1.6471,             0.00067924,             0.00067924,             0.00067924
                     83,                 1.3229,                 1.4237,                 1.9166,                0.91415,                0.75117,                0.91398,                0.69763,                0.95144,                 1.2125,                 1.6833,             0.00067528,             0.00067528,             0.00067528
                     84,                 1.1817,                 1.1709,                 1.7988,                0.92814,                0.95761,                 0.9865,                0.76229,                0.95111,                0.84054,                 1.6554,             0.00067132,             0.00067132,             0.00067132
                     85,                 1.1699,                 1.2161,                 1.8286,                0.95759,                0.98889,                0.98702,                0.78865,                0.85908,                0.65597,                 1.6026,             0.00066736,             0.00066736,             0.00066736
                     86,                 1.1973,                 1.2058,                 1.8531,                0.83419,                0.92721,                0.94451,                0.74733,                0.86589,                0.96977,                 1.6446,              0.0006634,              0.0006634,              0.0006634
                     87,                 1.2198,                 1.2949,                 1.8385,                0.93932,                0.97712,                0.97908,                0.74447,                0.97389,                0.75846,                 1.7129,             0.00065944,             0.00065944,             0.00065944
                     88,                 1.1849,                 1.2311,                 1.8339,                0.92486,                 0.9385,                0.97921,                0.77792,                0.89952,                0.80382,                 1.6357,             0.00065548,             0.00065548,             0.00065548
                     89,                 1.2465,                 1.2715,                 1.8933,                0.90121,                0.90397,                 0.9789,                 0.7327,                0.99337,                0.95661,                 1.6776,             0.00065152,             0.00065152,             0.00065152
                     90,                 1.1619,                 1.1602,                 1.8094,                0.98704,                0.99263,                 0.9896,                0.77247,                 0.9048,                0.62685,                 1.6031,             0.00064756,             0.00064756,             0.00064756
                     91,                   1.18,                 1.2451,                 1.8185,                0.97183,                0.97625,                0.98755,                0.76138,                0.95139,                0.67368,                 1.6724,              0.0006436,              0.0006436,              0.0006436
                     92,                 1.1055,                 1.1188,                 1.7239,                0.97513,                0.97606,                0.98952,                 0.7711,                0.88018,                0.83074,                 1.5812,             0.00063964,             0.00063964,             0.00063964
                     93,                 1.1103,                 1.2085,                  1.751,                0.96917,                0.98095,                0.98848,                0.77613,                0.85998,                0.77164,                 1.5458,             0.00063568,             0.00063568,             0.00063568
                     94,                 1.1677,                 1.1732,                 1.8023,                0.97681,                0.98934,                0.99055,                0.79712,                0.82161,                0.60869,                 1.5524,             0.00063172,             0.00063172,             0.00063172
                     95,                 1.1804,                  1.218,                 1.7918,                0.97809,                0.97707,                 0.9898,                0.79047,                0.85549,                0.61656,                 1.5669,             0.00062776,             0.00062776,             0.00062776
                     96,                 1.1083,                 1.1152,                 1.7868,                0.96072,                0.97172,                0.98917,                0.76772,                0.91334,                0.65486,                 1.6092,              0.0006238,              0.0006238,              0.0006238
                     97,                 1.2006,                 1.1859,                 1.8436,                0.96125,                0.95293,                0.98432,                0.74331,                0.95509,                0.72538,                 1.6443,             0.00061984,             0.00061984,             0.00061984
                     98,                 1.0802,                 1.1199,                 1.7252,                  0.962,                0.97044,                0.99038,                0.76697,                0.93612,                0.67684,                 1.6376,             0.00061588,             0.00061588,             0.00061588
                     99,                 1.2461,                 1.2273,                 1.8506,                0.79536,                0.88889,                0.95526,                0.72858,                0.99183,                 1.0811,                 1.6702,             0.00061192,             0.00061192,             0.00061192
                    100,                 1.0917,                 1.0483,                 1.7126,                0.99143,                0.97821,                0.99055,                0.79866,                0.87145,                0.61728,                 1.5621,             0.00060796,             0.00060796,             0.00060796
                    101,                 1.1374,                 1.1912,                 1.7314,                0.97865,                0.98749,                0.99025,                0.74014,                 1.0658,                0.68435,                 1.6515,               0.000604,               0.000604,               0.000604
                    102,                 1.1508,                 1.1458,                 1.7607,                 0.9866,                0.98798,                0.98983,                0.77808,                0.91179,                0.75381,                 1.6002,             0.00060004,             0.00060004,             0.00060004
                    103,                 1.1073,                 1.1304,                 1.7348,                0.96898,                0.95415,                0.98452,                0.77098,                0.86478,                0.70527,                 1.5743,             0.00059608,             0.00059608,             0.00059608
                    104,                 1.0891,                 1.0952,                 1.7398,                0.97225,                0.96633,                0.98911,                 0.8009,                0.83293,                0.62412,                 1.5384,             0.00059212,             0.00059212,             0.00059212
                    105,                 1.1371,                 1.1365,                 1.7581,                 0.9299,                   0.96,                0.98901,                0.80247,                0.84086,                0.68254,                 1.5272,             0.00058816,             0.00058816,             0.00058816
                    106,                 1.0848,                 1.1144,                 1.7033,                0.98157,                0.97192,                0.98931,                0.79441,                0.85533,                0.70466,                 1.5331,              0.0005842,              0.0005842,              0.0005842
